sentence,predicted,true
이런? 소설을 산건가?,0,1
신고자 : 토스트기에 불이 붙었어요! 점점 번지고 있어요!!! ??? : 물을 끼얹어 보세요.,0,1
"병맛컨셉은 딱 내 취향이나, 컨트롤이 너무 어려움. 환불함",0,1
처음 시작할 때 본능적으로 차 타려고 F키 눌렀다가 수류탄 자폭으로 5번 죽음,0,1
운빨죧망겜,0,1
제발 한글화좀 해줘..번역기로 해줘도 되니까 제발...,0,1
적벽대전 막바지에 조조가 전함 타고 적벽으로 러쉬 왔는데 잡으러 갔더니 혼자만 바닷 속으로 가라앉은 상태 바다에 있는 놈 때리지도 못하고 옆에 쪼만한 선착장까지 U턴해서 빙 돌아 헤엄쳐서 오는거 10분 넘게 기다렸다가 잡음 확실히 조조가 머리는 좋네.,0,1
불명예스럽게 혼돈수치를 최대치로 높입시다,0,1
리..리듬게임인가? 6.2/10점,0,1
다음편을 예고하는듯 떡밥과 안타까움만 남긴채 미완성된 이야기로 게임이 끝나버립니다. 재미없는 게임이라면 다음 스토리 기대도 안하겠지요. 하지만 게임을 해보고나니 사람들이 왜 3편을 부르짖는지 알게되었습니다. 3편 발매하라고!!,0,1
악마들 상대하는 것보다 점프하다가 낙사하는게 더 긴장되는 FPS 그냥 다 때리고 부수는 마초게임인 줄 알았지만 길찾기가 더 어려움;,0,1
하고는 싶은데 친구없어서 못하는게임 한마디로 망겜,0,1
아니 ^ㅣ발 이거 뭘 어떻게 해야 씬을 보는거냐? 공략도없고 마을주민이랑 대화하다가 정들었다 개^ㅣ발,0,1
사기꾼이 많아 힘들지만 어차피 내가 그 사기꾼이다.,0,1
재...재미없어서끊거임 안무서움 꼭사세요 안무서워요 진짜 재밋음 액션임 꼭사세요,0,1
정말 개복치 스러운게임이라서(비하아님)질리지가 않는다. 단지 왜 죽어서 몰라서 짜증나는것 뿐이다,0,1
이런걸 게임이라고 만드네,0,1
CA는 미토3를 내놔라,0,1
두번 다시는 경험 하기 싫은 게임.,0,1
동작을 읽어서 막아야하는데 3탄의 창든 앰흑새끼는 빠르고 까매서 잘 안보임 왼손인지 오른손인지 알 수 가없다,0,1
솔직히 좇노잼.. 돈아까움.,0,1
성을짓고 전초기지를 만들고 인력과 장비의 제작까지 모든게 돈으로 행해지는게임 이게 진정한 자본주의가 아닐까..,0,1
오프라인이라도 열어줬으면 좋겠다.,0,1
거진 무한 동력 돌리는데 갑자기 기근 뜨면서 인간들 박살나는데 그냥 죽으라고 만든건가요???,0,1
외않헤?,0,1
창모드만 지원해줬으면 참 좋겠는데 그부분이 너무 아쉽네요,0,1
거지같읍니다.,0,1
안 하고 있을 땐 하고 싶어지고 하고 있을 땐 안 하고 싶어지는 개 같은 게임.,0,1
방구석에 쳐박혀서 이상한짓거리나 하는 인디겜제작자들이 만들어서 그런지 자신들이 햇빛을 안째서 비타민 결핍증에 시달리는걸 부족한게 정상이며 부족한게 리얼하다고 생각한다 머가 존나 복잡해보여서 리얼해보이지만 별로 리얼하지는 않다,0,1
그냥 레전드 아니냐 아닥하고 사야함 이건,0,1
핲라크래프트,0,1
카라를 왜 죽였냐 볼리션 놈들!!!으허...... 는 아니고 원작대로 TPS 외길 액션겜으로 돌아왔습니다. 게릴라는 오픈월드라 나름 재미있었는데 아마겠돈은 평작 TPS 그이상도 이하도 아니에요,0,1
"세상에... 그냥 병맛게임인줄 알고 ㅋㅋㅋㅋㅋㅋ거리면서 세일할때 사야지 하고 샀는데... 생각외로 있을 건 다 있고, 심심풀이로라도 하루에 한 두번 씩은 만져보게 됩니다 이게 무슨... 온라인 나오면 볼만하겠군요 ㅎㅎㅎㅎ",0,1
PC도 한글화만 해주세요 제발,0,1
나만 어려워 하는 게임.,0,1
아직 2탄까지 밖에 없음 2탄깨고나면 다시 태초마을로 돌아옴,0,1
지금 저만 안되는건가요? 다 깨야 되는데.. ㅡㅡ;; 접속이 안되네요..,0,1
게임을 하다보면 왜 옵션에 자살이 있는지 알게된다 ㅋㅋㅋ,0,1
한글이 피료해 >.<,0,1
짜증나게 개 잘만듬,0,1
이거 할려고 인피니티 워페어를 사다니...(끼워팔기 부들..),0,1
난생 처음으로 27000원 주고 게임을 샀다. 클렘을 만나기 위해서.,0,1
"마지막이라 해서 샀는데 할말은 이거뿐임 ""할인하면 사라"" 그리고 디럭스는 사지마세요 값어치를 못함",0,1
메달오브아너 시리즈는 돌아와야한다.,0,1
재미없다,0,1
메이좀 버리고싶다 으아아으아어으아앙 세일할때 사면 추천함,0,1
멀티플레이가 없다는 사실이 아쉬울 다름이다,0,1
저장이 되지 않는다. 영어로 로케를 바꾸면 저장이 된다고 하지만 매번 그러기에는 귀찮다. 1-4편을 플레이하지 않아도 5-7편을 즐겁게 즐길수 있으니 5-7편만 사자,0,1
또 속았다 ++ 1달만에 세일하노 시발년ㄴ아,0,1
미친새끼,0,1
개발진이 조금만 더 게임운영에 신경을 써준다면 더 좋은 게임이 되지않을까 합니다.,0,1
그만 좀 막아 미친AI들아,0,1
세일에서 몇천원에 사서 그런지 나름 만족스럽습니다. 그런데 정가주고 살만한 게임은 아닌듯.. 우노게임 그 이상 그 이하가 아닙니다. 차라리 현실에서 사람들이랑 얼굴맞대고 우노하시는 게 훨 나음,0,1
와.. 이건.. 뭐..,0,1
추천: 여러음악이나BGM 관심 있는사람 이겜 추천 비추: 음악이나 BGM 을 관심 없는사람에겐 비추,0,1
그들이 울상짓지 않는데에는 다 이유가 있다,0,1
한국어가 없어서 매우 아깝다. 영어를 잘 못하는 작성자는 슬피 웁니다.,0,1
ㅠ알파버전은 싫어요~~,0,1
..ㅋㅋ....스타터팩 없어졌네 ㅋㅋㅋㅋㅋ,0,1
하드모드로 시민 안죽이고 깰려다 맨붕와서 시민 흡혈했는데 게임이 재미가 없어짐 ... 몇명 흡혈하니까 먹힌애들이 마을 사람들 다 죽임 한글 없어서 스토리 다 스킵하면서 게임함 근데 미니맵 없어서 존나 불편,0,1
확실은 핑높은 섭이많아 재대로 즐기지는 못했는데 정신없지만 뭔가 잼는게임,0,1
이거 생각이상으로 게임이 그냥저냥했음 무엇보다 내가 뭘 하고 있는지를 자꾸 까먹게 됨 존나 별창만드는 기분이라 하고 있으면 그냥 저냥 한 기분이 들면서 어머니 아버지의 노고와 그리고 사회의 안정감과 평화에 대해 안녕을 보내게 된다 .,0,1
음 도전과제가 이 게임이말하고싶은 게임인거같습니다.,0,1
게임 자체는 만족인데 정말 사람 열받게하는 RACENET... 모든 게임 기점서 레이스넷과 통신중이라고 뜨는데 오류겁나뜹니다. 이거땜에 정말 개빡치네요,0,1
아마 이 게임을 하신분들은 아시겠지만 돈을 턴건 나 자신이 아닌 오버킬이라는 것을 후에 깨닫게됩니다.,0,1
망할 내 손가락과 눈은 탄막을 피하기는 커녕 탄막에 개돌진하네.... ㅠㅠ,0,1
guy martin 이 없어서 아쉽다..,0,1
거 일러스트는 정말 좋은데... 게임이 아닌 그냥 소설한권 보는느낌? 이점이 매우 아쉬웠다. 그러나 눈은 매우 호강하였다.,0,1
그냥저냥 별 생각없이 30분만에 도과 100% 따는 게임,0,1
야겜 > 스팀 > 건전한겜,0,1
아침에 매치가 안잡혀요 ㅠㅠ,0,1
내가 어디서부터 잘못된건지 뭘해도 미래가 없었습니다 미친 개밥버러지같은,0,1
박대리 시발련아,0,1
쿄 좀 살려내라 ㅠㅠ 제발 ㅠ,0,1
겁 많으신 분은 비추천....... 하지만 갑툭튀는 잘 버티는 분은 추천합니다! 저는 겁 많아서 51스테이지까지만 했는데.. 추천합니다.,0,1
영업당해서 코옵을 위해 샀는데 정작 내가 더 오래 플레이한 게임.,0,1
"$4.99 에 구매하였다면 뭔가 아쉬운 게임이 될 것이고, $0.19 에 구매하였다면 훌륭한 게임이 될 것이다.",0,1
로스엔젤런스엿나? 그걸로 깔고 하면방은 잘잡히는데다튕김ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 히오스보다 심한 희망고문이다 시발,0,1
니들이 뭘 말하려고 하는건지 당최 모르겠다,0,1
1. 파리편 - 아 발족화 ;;; 2. 모로코편 - 와 개 띵작이다;; 3. 마라케시편 - 언제 끝나냐.. 4. 콜로라도 편 - 이건 그냥 답이없다 귀찮기만 하다,0,1
내 3000원 돌려줘,0,1
한 때 유행하기에 했었던 게임. 역시 사람들이 왜 추천하는지 이유를 알 수 있는 게임. 그냥 평범한 미연시라고 봤다간 정말 큰코 다침. ...,0,1
최적화는 분명 문제가 되지만 게임성에 문제는 없음,0,1
레이싱만 재밌는게임.,0,1
1등하는 판보다 1등못하는판이 더 적은게임,0,1
분위기는 나쁘지 않았지만 스토리 전개가 너무 흔한 반전이었다. 넥스트와 조사 몇번만 하면 도전과제는 쉽게 깨집니다.,0,1
도트는 이쁜데 솔직히 게임은 그저그럼,0,1
초보자에게 25명 모드는 추천하지 않는다. 한명 잡으면 24각,0,1
무료라서 함 단지 그것 뿐,0,1
뭐가다른거지,0,1
좋.아.,0,1
편의성이 좋은 듯 하면서 나쁘고 편안하게 하다가도 빡치게 하고. 뭔가 나사가 몇개가 빠진 듯한 게임.,0,1
재미가 없는건 아닌데 이거 할바엔 그냥 문명 5 하세요,0,1
주의 : 친구가 없다면 하지 마시오,0,1
쓸만한데...... 뭔가 귀찮네요 만드는게 저처럼 초보자는 잘 못만들것 같네요...,0,1
이거삿는데 내라이버러리에도안보이고 한글화도 개엉망이네요,0,1
게임자체는 재미있지만 뭔가 부족한느낌이다. 너무 단조롭다.,0,1
게임 열심히 해서 레벨 14에 돈 12000원 정도 벌어뒀는데 왜때문에 날라간거죠 ㅠㅠ 갑자기 레벨이 12되고 돈도 4000원이 됐네요... 데이터가 일부 날아간거만 빼고는 재밌어요..,0,1
맵수랑 차량 대수 너무 적음,0,1
2버전에서 되던 필압이 2018버전이 되면서 안 먹힌다 //타 소프트웨어와 충돌이 있었다. 지금은 잘됨,0,1
너무 빨리 끝남,0,1
하프라이프의 명성에 걸맞는 확장팩. 동료들의 ai만 진짜 절망적.,0,1
잼게 했고 스토리 다 보고 어지간한거 다 100퍼 채웠는데 문제는 길이 너무 거지 같고 이동하는게 증말 거지 같습니다.,0,1
나오고 42시간동안 재밌게 하고 더 하긴 할건데 아무리 그래도 할인안할때 사서 배아픈건 모든게임 공통인듯... 특히 이 겜은 비싼것도 있고,0,1
???:너넨 쥐를 잡아라 우린 흑우를 잡을테니 유저: 시발..,0,1
"무료로 하는 중이어서 그런지, 엄청난 게임이라고 느꼈어요! 하지만 마인... 에 비해 비공식적인 자유도가 부족해요.",0,1
이거 업데이트가 저는 안뜨는데 다른 몆몆분들은 뜨는데 이거뭐 해야 업데이트 돼고 그러는건가요??,0,1
ㅈ망 RPG만 나오는 한국에서 이런게임이 다시 나오기는 힘들듯. 회사가 안망했으면 업데이트나 신작좀...,0,1
저기요 해상도를 설정했는데 나중에 플레이하다가 팅기는데 해상도가 갑자기 낮아지고 언어도 너무작아졌어요 수정: 생각했던건데 예전에 내구력이 이렇게 상당히 민감하지않았던걸로 기억하는데 왜이버전에는 차가 너무잘부서지죠? 이러니까 플레이가 너무불편해요,0,1
투 페어라 일어나니까 다이아몬드 두개가 연속으로 나와 스트레이트로 10만 칩이 날아갔습니다. Tlqkf.,0,1
무료로 바뀔때 뭔가 오류가 있었는지 실행하려니까 안되어서 재설치 하니까 실행됨,0,1
밤에 뱀새끼 좀 줄여줘요 살수가 없어 살수가,0,1
왜 그들은 33%는 알지만 3은 모르는걸까. 정말 안타까운일이다.,0,1
챕터4를 기다린다....,0,1
D1 까지 다 깬 사람으로 말합니다. 엄청나게 어렵기 때문에 못 깰것 같으면 그냥 도전을 하지마세요. 시간이 아까운게 아니라 멘탈이 못 견딥니다.,0,1
유료곡 곡당 2200원... 진짜 뭐가 없는 가격이네요ㅗ.,0,1
T씹창렬,0,1
한글판 언제 지원 해주나요...기다리고 있지만 소식이 없네요...꽤 많은 한국유저들이 구매 한거 같은데 한글판은 아직인건가요...슬프네요...,0,1
어렵다....어려워,0,1
환상적인 게임 게임 방식이든 퀄리티든 이런 게임은 지금도 찾아보기 힘들다,0,1
사람이 타 게임에 비해 없긴 한데 재미가 없는건 아님 그러니까 일단 깔아보셈,0,1
위치가 진짜로 고인이되버림.,0,1
버그 거의 없어졌다길래 구매했는데 방금 팅겼습니다.,0,1
고인돌,0,1
"선수들 개개인의 이야기, 갈등, 비하인드 스토리 등 선수 자체를 알아갈수 있어서 좋았던 비디오였다. 이런류의 비디오를 만들다니.. 상상이나 했으련지 ㄷ;",0,1
"다 재밌는데 버그도 많고 괜히 디펜시브되면서 오리지널때 개성있던무기들의 특징을 없앰 초고전압,핫로드 모드의 짱짱한 이펙트라던가 다 없애버리고 화염무기는 독무기와 병행하지않으면 거의 쓰지못하는급으로 만들어버림",0,1
"솔직히 이것은,,, dlc가가장핵심이다,, dlc가없으면 총2개박에없다,,ak47 콜트 이거박에없다",0,1
할만한데 키보드는 ㅈㄴ 불편함 패드로 하셈,0,1
추억팔이 할려했더만 서버에 사람이 없네..,0,1
데모인걸 모르고 구매해서 1시간도 채 안되는 플탐과 끊기는 스토리에 처음엔 많이 당황하긴 했었지만 데모가 이 정도면 완성된 게임은 얼마나 더 좋을까 기대하고 있습니다,0,1
"게임은 두말 할 필요 없이 너무 좋았으나 서양정서가 저에겐 낯설군요. 동양적인 분위기가 물씬 풍기는 후속작 ""Shadow of Fukushima"" 또는 ""Call of Fukushima "" 를 기대 하며 환불 하겠습니다.",0,1
킥스타터 돈넣은 분들 이번에는 성.공,0,1
60불 킥스타터다 게임이 이모양이니 가격이 이런건 어쩔수없긴한데 거기에 할인을 또 해버리니 거하게 뒤통수 맞은느낌은 어쩔수가 없다 게임 자체는 취향 맞으면 할만한데 현재로선 컨텐츠가 없음,0,1
지금 구매했다면 바로 환불하는 것이 그대 삶의 빛이 될 것이다.,0,1
부2랄,0,1
에피소드2부터 한글패치가 먹통입니다. 해결해주세요.,0,1
재밌다늉.. 간편하게 즐기기 좋은 게임이라늉 ㅇ 3ㅇ (추가) 다좋은데 진짜... 개같은 조작감이 날 너무 화가나게 한다늉 ;;; 이것만 아니면 진짜 아... 개빡친댜유ㅠㅠㅠㅠ,0,1
게임은 확실히 재밌음.. 근데 멀티를 하려면 솔직히 추천 못하겠다.. 같은 나라면 그나마 핑이 괜찮은데 다른나라 걸리면 씹히는건 기본이고 렉도 오지고.. 소장용으로 쓰실분은 사도 괜찮을듯,0,1
어우 시발 마법사 ㅈ같네,0,1
호불호가 많이 갈리는 장르입니다. 좋아하는 분들은 힐링게임이라 좋아하는거 같고 저는 장르가 안맞아서 포기했네요. 진행이 느릿느릿하고 연출 기다리는 시간도 오래걸리기 때문에 답답한거 못참는 분들은 비추.,0,1
1년 뒤에 하세요,0,1
이거 하다보면 다른 게임은 유아용 게임 같이 느껴져요 멘탈적인 부분에서요... 진짜 열받게 하지마라,0,1
이 게임의 심각한 단점 : 긴 글을 볼때 공간만 있으면 트랩 설치하고싶어짐,0,1
아버지의 편지: 라라에게 라라야 다이어트좀 하자... 너가 착지 하는 땅마다 다 무너지는구나...,0,1
개발기간 7년 동안 만든 것이 이것입니까,0,1
서버가 감자입니다.,0,1
"상병신게임 업데이트해서 컨텐츠가 더 많아지고, 최적화를 잘 해준다면 괜찮을 수도 있다고 생각 그치만, 이 게임만으로 플레이 시간을 늘리는 거에 대해선 신중히 생각 하길 바람",0,1
"""What a beautiful day"" Grrrrr 77ㅓ억",0,1
테에에엥 어째서 한글 언어는 추가 안해준 데수우웅,0,1
존나 골때리네,0,1
미사일을 쐈는데 미스가 떴다! 쉴드 제어실에 이온 폭탄이 터졌다! 맨티스들이 강습을 해온다! 함선에 균열이 났다! 보딩 드론과 이온드론이 급습해온다! 무기 제어실에 불이 붙었다! 조타수가 정신 지배를 당했다! 우오오오 개판!,0,1
느그 아부지 누구시노? 자살 막는데예 뭐어? 자살을막아? 그레 느그 아부지 자살막아서 조컷다 임마 앙?,0,1
쉬 ....불 내돈.....,0,1
주인공이 변태임,0,1
팀포2 공룡판 혼자하면 노잼,0,1
진정한 발암 I Wanna Be The Guy 같은거... (창문 열어놓고 했다가 봉변당할뻔...),0,1
갓 = 겜이 됄수 있었지만 레이저로 마지막 보스를 한탄창 비우기도전에 지워버릴수 있어서 허망한겜 아니 무슨 보스 보호막을 관통하는걸 그대로 냅둿냐;,0,1
로그는 희생된 것이다. 유니티라는 거대한 덩어리에 가려지고 만 것이다.,0,1
씹덕을 위한 씹덕들을 위한 씹덕에 씹덕에 씹덕을 위한 게임,0,1
초기화 하는 방법좀,0,1
버그가 너무 많다 레알 유플레이 개새끼! 근데 게임성하나는 또 죽여줘서 뭐라 못함 암튼 이게임 짱짱맨,0,1
사채의 무서움을 알려준다. 망하면 리셋하자. 사채는 쓰지말자,0,1
븅신들아 키보드라 할수있어 빡대가리들아 니들 눈들은 장식이냐 빠가들아 찐따티좀내지말자,0,1
3년간 잡았던 애증의 게임 잘됬으면좋겟다,0,1
크라이테크 이놈들은 꼭 2% 부족해..,0,1
도전과제 현질없이 켜두기만 했는데 대충 이정도 걸렸네요 참고하세요,0,1
콜옵 시리즈 중 하나는 있어야 함.,0,1
국산게임 액스 할빠에 이게임하세요.,0,1
한글내놔 이걸 영어로 어떻게해,0,1
사이버펑크 유저한글화 다 좋은데 너무 어려움,0,1
심심풀이 정도로 가볍게 즐기기 좋은 게임.. 난이도도 무난하고..전체적으로 건축하고 테크 올리는게 계속 같아서 스테이지 반복될 수록 지루함.. 킹덤시리즈 완전 카피지만 3d라서 뭔가 새로울까 했는데 그냥저만..별 3개정도,0,1
"쒸,,,,벌,,,, 결국 돈받고 파는구나",0,1
분위기가 진짜 와...,0,1
재미를 떠나 수 많은 텍스트를 읽을 자신이 있다면 이 게임을 시작해도 됨,0,1
게임은 재밌는데 컨트롤러 연결 오류는 저만 뜨는건가요?,0,1
3시간했다,0,1
예전에 하던거 날아감 ㅈ망겜,0,1
기존과 비교하면은 여러종류의 무기들이 나와서 정말로 재미있게 플레이를 하였지만 아쉬운점이라면 이야기라 계속 반복이 되어서 플레이하기에 너무나 지겹다,0,1
시1발 존나무섭네 어디서 갑툭튀할지 알겠는데 무섭다 시1발,0,1
이게임을 하면서 소총 개머리판으로 적 때리려다가 모니터를 직접 타격해버려서 모니터가 산산조각이 나버렸습니다...... 흙......,0,1
메모리 차지가 너무 큽니다... 조금만 줄여주세요,0,1
이쯤되서 깨달은게 스페이스마린은 정말 아머빨로 쌘게 아니라 그냥 거기 탄 스페이스마린이 쌘거였습니다. 그렇기때문에 제가 조종하는 스페이스마린은 그야말로 참피 그 자체였죠. 스마야 미안해...,0,1
권총 쏘는 재미 하나는 원탑이다 이말이야,0,1
솔직히 전투하려고 이 겜을 산다면 비추천. 퀘스트가 너무 불친절함. 그냥 크리에이티브에서 친구들이랑 건축하고 놀거면 추천. 가격값을 하는지는 모르겠다..,0,1
사실상 게임 평가하는 병신들이 이리저리 떠들어도 당신이 재미있으면 재미있는거 아니겠습니까 ? 하! 이겜이 그런게임입니다,0,1
솔로만하고있는데 내취향 근데 이번패치이후에 싱글 데이터가 날아가버렸네. 짜증나게,0,1
이게 뭐람,0,1
안녕!,0,1
그래픽만 아니었으면 정말 좋았을텐데 한글패치도 아쉽고 5점만점에 4점준다.. 플포 있으신분들은 플포로 하세요 ...,0,1
망했냐?,0,1
롤 팀운 생각하면 선녀같은 게임 아니냐,0,1
이게임 과연 끝나긴 할까...?,0,1
게임을 타고 표류하는듯한 이 기분,0,1
게임은 재밋지만 너무 어지럽다...,0,1
심시티 도로마냥 쭉 깔았더니 컨베이어 화살표가 달라서.. Next Slot Not found.. 이게 컨베이어 위에 드레그해도 돈이 빠져나가길레 버그인줄 알았는데 버그가 아니구먼.. 컨베이어 진행 화살표를 잘 맞추자,0,1
그로우 홈.. 과연 집은 언제 나오는 것일까... 커져만 가는 이 나무가 집인 것일까?,0,1
꽤나 예전에 사놓고 플레이 안하는 게임. 옛날에는 프레임 드랍이 심해서. 지금은 재미를 못느껴서. 샀을때는 아주 재미있었는데,0,1
세입자가 갑이다.,0,1
잼민이 전용 디펜스 형식 디아블로.,0,1
노가다의 노가다를 위한 게임 내가 할게 없고 돈과 시간이 충분하다 하면 추천함,0,1
이게 정말 내 손이 맞나 싶다..,0,1
언제 끊지,0,1
핏셔형이 파이브 세븐 들면 다 때려잡지 말입니다.,0,1
심리적 공포가 별거 있습니까? 이건 단순한 미연시라구요 ㅎㅎ 미친상황 연속발생 시스템 미소녀들 연속살인 시뮬레이션,0,1
동물잔뜩기르는데 고기를 못먹어서 힘이안남,0,1
시끄러 난 옥수수만 키울거야,0,1
낙사가 무섭다..,0,1
멀티 까는사람 설마 지들이 못하면서 그지랄 떠는거 아닌가 생각함,0,1
게임하는 내내 빡이 쳤다,0,1
레이시티가 그립다면 추천,0,1
음...핑상태가 ㅠㅠ,0,1
이거사고 후회중인데.... 내가 이거 왜샀지;;,0,1
"엄청난 잠재력이 있는 게임인 건 분명하다. 이게 해보면 알겠지만 물리엔진이 염소 시뮬레이터의 그것과 비슷하다. 물리력이 제어가 가능한 수준일 때 빛을 볼 것 같은데, 이럴거면 대놓고 병맛으로 갔어야 더 좋지 않았을까 하는 아쉬움이 있다.",0,1
아니 씨2발년들아 한국서버좀 만들어;,0,1
이 게임은 fps가 아닌 1인칭 미로게임입니다 구매전 주의해 주세요,0,1
컴퓨터가 좋아도 서버가 렉이걸린다.,0,1
다 좋은데 엉망인 최적화. 그리고 불친절함. 코옵 하는 법 몰라서 한참이나 고생함.,0,1
레벨 30이상 까지 만들었는데 시작하고 보니 가지고 있는 무기가 없고 레벨 18로 변해있었습니다 무슨 문제가 있는지 문의하고 싶습니다..ㅠ,0,1
친절은힘이세다,0,1
개새끼들 길 못찾겠다,0,1
응~ 이제 하고싶어도 못해~,0,1
엔딩 보고 왔는데 주인공은 죽은건가요? 만약 죽은거면 마지막에 망토에 뻗는 손은 누구인가요? 아니면 다음작 떡밥인가용?,0,1
씁쓸한 후유증,0,1
"한글패치 나오면 더 쾌적한 플레이가 가능하겠네요, PS4 유저중에서 한글패치만들면 고소한다느니 신고한다느니 지나친 월권아닌가요?",0,1
역사학자들은 서로마가 476년까지 밖에 존속하지 못한 부패하고 약한 제국이라고 놀리겠다만 아틸라하는 새끼들은 시발 어케 버텼노를 시전할것이다.,0,1
요즘 코로나 19로 민폐를 끼치고 있는 신천지를 보고 있으니 사두고 짱박아둔 이 게임을 다시 꺼내게 되었습니다.,0,1
하다가 잠들었다,0,1
죽어도 못깬다라는 무기력감을 느낀 게임은 이게 처음인거 같다,0,1
그냥 바보같아...,0,1
"1인칭, 중세, 인디",0,1
아 개빡친다,0,1
"알찬재미가 있는건 사실인데, 컨텐츠에 비해서 너무 비싼편. 할인도 잘 안해준다.",0,1
나도 챌린지 깨고싶은데 아이큐가 해저드다.,0,1
ㄹㅇ 저장이 안됨 진짜 재밌긴 함 근데 저장이 안됨 그래서 난 문의 넣고 지랄함,0,1
물장사다!!!,0,1
이거 하다가 시간이 지나면 이상한게 탄생함,0,1
운빨ㅈ망겜,0,1
얼리가 이케 재밌으면 어케,0,1
'미스'트오버 미스때문에 멘탈 개나간다아 !,0,1
